,song_id,song,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo
242,242,How Do I Say Goodbye,0.4,0.641,8.0,0.0674,0.214,0.0,0.0656,0.393,81.552
243,243,Yeah!,0.895,0.795,2.0,0.0977,0.0219,0.0,0.0403,0.574,105.004
244,244,Speed of Sound,0.514,0.898,11.0,0.0577,0.00488,0.0345,0.0746,0.353,123.067
245,245,Welcome To New York,0.789,0.634,7.0,0.0323,0.0348,1.64e-06,0.302,0.658,116.992
246,246,We Built This City,0.649,0.82,5.0,0.0353,0.0471,0.0,0.0816,0.702,144.226
247,247,If You're Too Shy (Let Me Know) [Edit],0.653,0.806,2.0,0.0311,0.00398,0.00455,0.0927,0.386,125.641
248,248,2 Hearts,0.667,0.621,7.0,0.035,9.31e-05,4.33e-05,0.0572,0.492,111.996
249,249,My Eyes Adored You,0.446,0.489,11.0,0.033,0.272,0.0,0.16,0.396,137.829
250,250,Child's Play,0.608,0.751,7.0,0.0408,0.0779,0.00143,0.321,0.59,124.028
251,251,In My Little Corner Of The World,0.483,0.321,11.0,0.0281,0.845,1.58e-05,0.348,0.404,107.728
252,252,"Up, Up and Away",0.393,0.362,7.0,0.0305,0.599,0.0,0.333,0.515,107.743
253,253,The Living Years,0.527,0.429,8.0,0.0321,0.655,0.0,0.0865,0.277,97.893
254,254,SOS,0.415,0.713,5.0,0.0278,0.251,0.00197,0.289,0.579,125.056
255,255,Free Your Mind,0.765,0.831,7.0,0.0565,0.0894,0.0,0.393,0.809,100.026
256,256,Talk Like That,0.573,0.941,6.0,0.0315,0.0013,4.06e-05,0.18,0.864,135.017
